word,document,TF,DF,IDF,TF-IDF
good,12,1,22,4.633,4.633
good,30,1,22,4.633,4.633
good,54,1,22,4.633,4.633
good,153,1,22,4.633,4.633
good,208,1,22,4.633,4.633
good,212,1,22,4.633,4.633
good,291,2,22,4.633,9.266
good,305,1,22,4.633,4.633
good,327,1,22,4.633,4.633
good,355,1,22,4.633,4.633
good,450,1,22,4.633,4.633
good,516,1,22,4.633,4.633
good,552,1,22,4.633,4.633
good,576,1,22,4.633,4.633
good,643,1,22,4.633,4.633
good,680,1,22,4.633,4.633
good,684,1,22,4.633,4.633
good,711,1,22,4.633,4.633
good,733,1,22,4.633,4.633
good,762,1,22,4.633,4.633
good,804,1,22,4.633,4.633
good,835,1,22,4.633,4.633
bad,112,1,8,5.5713,5.5713
bad,241,1,8,5.5713,5.5713
bad,604,1,8,5.5713,5.5713
bad,622,1,8,5.5713,5.5713
bad,649,1,8,5.5713,5.5713
bad,698,1,8,5.5713,5.5713
bad,751,1,8,5.5713,5.5713
bad,763,1,8,5.5713,5.5713
not,6,1,57,3.7081,3.7081
not,46,1,57,3.7081,3.7081
not,64,1,57,3.7081,3.7081
not,67,1,57,3.7081,3.7081
not,76,1,57,3.7081,3.7081
not,97,1,57,3.7081,3.7081
not,103,1,57,3.7081,3.7081
not,106,1,57,3.7081,3.7081
not,146,1,57,3.7081,3.7081
not,161,1,57,3.7081,3.7081
not,184,1,57,3.7081,3.7081
not,199,1,57,3.7081,3.7081
not,223,1,57,3.7081,3.7081
not,238,1,57,3.7081,3.7081
not,241,1,57,3.7081,3.7081
not,244,1,57,3.7081,3.7081
not,276,1,57,3.7081,3.7081
not,281,1,57,3.7081,3.7081
not,287,1,57,3.7081,3.7081
not,305,1,57,3.7081,3.7081
not,331,1,57,3.7081,3.7081
not,340,1,57,3.7081,3.7081
not,355,1,57,3.7081,3.7081
not,383,1,57,3.7081,3.7081
not,398,1,57,3.7081,3.7081
not,403,1,57,3.7081,3.7081
not,412,1,57,3.7081,3.7081
not,430,1,57,3.7081,3.7081
not,437,1,57,3.7081,3.7081
not,445,1,57,3.7081,3.7081
not,487,1,57,3.7081,3.7081
not,515,1,57,3.7081,3.7081
not,550,1,57,3.7081,3.7081
not,559,1,57,3.7081,3.7081
not,565,1,57,3.7081,3.7081
not,568,1,57,3.7081,3.7081
not,601,1,57,3.7081,3.7081
not,607,2,57,3.7081,7.4161
not,610,1,57,3.7081,3.7081
not,631,1,57,3.7081,3.7081
not,634,1,57,3.7081,3.7081
not,638,1,57,3.7081,3.7081
not,662,1,57,3.7081,3.7081
not,673,1,57,3.7081,3.7081
not,677,1,57,3.7081,3.7081
not,686,1,57,3.7081,3.7081
not,694,1,57,3.7081,3.7081
not,697,1,57,3.7081,3.7081
not,721,2,57,3.7081,7.4161
not,728,1,57,3.7081,3.7081
not,748,1,57,3.7081,3.7081
not,751,1,57,3.7081,3.7081
not,775,1,57,3.7081,3.7081
not,803,1,57,3.7081,3.7081
not,824,1,57,3.7081,3.7081
not,829,1,57,3.7081,3.7081
not,853,1,57,3.7081,3.7081
movie,204,1,5,5.9767,5.9767
movie,290,1,5,5.9767,5.9767
movie,500,1,5,5.9767,5.9767
movie,621,1,5,5.9767,5.9767
movie,823,1,5,5.9767,5.9767
